reactor_name,owner,type,scale,D_tank_m,H_m,H_max_m,D_imp_m,impeller_type,Np,Nq,N_rpm_min,N_rpm_max,N_rps,V_L_min,V_L_max,V_L,material,baffles,bottom_dish,top_dish,impeller_count,imp1_clearance_m,imp1_height_m,D_imp2_m,Np2,imp2_clearance_m,imp2_height_m,D_imp3_m,Np3,imp3_clearance_m,imp3_height_m,Zwietering_S,GMB_z,wall_thickness_mm,OD_m,knuckle_radius_m,notes
Cambrex – R-3156,Cambrex,Batch,Manufacturing,1.3716,3.048,3.391,0.762,"Axial, high solidity",0.72,,1.43,95.0,1.5833333333333333,777.0,4154.0,4542.0,316-L SA-240,4.0,2:1 Elliptical,2:1 Elliptical,3.0,0.2667,,0.762,0.72,1.4097,,0.762,0.72,2.5526999999999997,,6.4,1.53,31.75,,,
Cambrex – R-3156 Mod,Cambrex,Batch,Manufacturing,1.3716,3.048,3.391,0.762,"Axial, high solidity",0.72,,1.43,96.0,1.6,777.0,4154.0,4542.0,316-L SA-240,4.0,2:1 Elliptical,2:1 Elliptical,3.0,0.2667,,0.762,0.72,,,0.762,0.72,,,6.4,1.53,31.75,,,
Cambrex – R-5103,Cambrex,Batch,Manufacturing,1.016,0.9017000000000001,1.156,0.46355,,,,,113.0,1.8833333333333333,,,757.0,,,2:1 Elliptical,2:1 Elliptical,,,,,,,,,,,,,,,,,
Cambrex – R-B01,Cambrex,Batch,Manufacturing,1.218,1.775,2.08,0.737,"Axial, int. solidity",,,12.0,125.0,2.0833333333333335,378.0,1892.0,2165.0,Carbon steel (SA-516),,2:1 Elliptical,2:1 Elliptical,2.0,0.064,,0.66,,0.895,,,,,,,,15.875,,,
Cambrex – R-B02,Cambrex,Batch,Manufacturing,1.35,1.803,2.141,0.6604,4PBT,,,,,,,,,,,2:1 Elliptical,2:1 Elliptical,2.0,0.168,0.0923,0.6604,,1.07,0.0923,,,,,,,,,,
Cambrex – R-C01,Cambrex,Batch,Manufacturing,1.218,0.832,1.14,0.7366,3PBT,,,12.0,125.0,2.0833333333333335,378.0,1322.0,1136.0,Carbon steel (SA-516),,2:1 Elliptical,2:1 Elliptical,,0.0635,,,,,,,,,,,,16.0,,,
Cambrex – R-101,Cambrex,Batch,Pilot,0.813,0.7942,0.998,0.4064,3PBT,,,10.0,139.0,2.316666666666667,38.0,429.0,549.0,,,2:1 Elliptical,2:1 Elliptical,2.0,0.05634,,0.3556,,0.462,,,,,,,,,,,
Cambrex – R-102,Cambrex,Batch,Pilot,0.8128,0.7810499999999999,0.967,0.2286,4PBT,,,11.5,230.0,3.8333333333333335,20.0,439.0,546.0,﻿Hastelloy (SB 575 C-276),,2:1 Elliptical,2:1 Elliptical,3.0,,0.0445,0.371475,,,0.0635,0.371475,,,0.0635,,,,,,
Cambrex – R-301,Cambrex,Batch,Manufacturing,0.972,1.072,1.583,0.6,Chevron,,,,125.0,2.0833333333333335,,,840.0,,3.0,Conical,2:1 Elliptical,2.0,,,0.61,,,,,,,,,,14.0,,,
Cambrex – R-302,Cambrex,Batch,Manufacturing,0.972,1.072,1.583,0.6,Chevron,,,,125.0,2.0833333333333335,,,840.0,,3.0,Conical,2:1 Elliptical,2.0,,,0.61,,,,,,,,,,14.0,,,
Cambrex – R-801,Cambrex,Batch,Manufacturing,0.972,1.072,1.583,0.6,Chevron,,,,125.0,2.0833333333333335,,,840.0,,3.0,Conical,2:1 Elliptical,2.0,,,0.61,,,,,,,,,,14.0,,,
Cambrex – R-802,Cambrex,Batch,Manufacturing,0.972,1.072,1.259,0.508,4PBT,0.72,,12.0,125.0,2.0833333333333335,189.3,757.0,971.0,,3.0,2:1 Elliptical,2:1 Elliptical,2.0,0.134,0.143,0.61,,0.845,0.078,,,,,6.4,1.53,14.0,,,
Takeda – 1.6 L Buchi,Takeda,Batch,Pilot,0.082,0.285,0.285,0.06,Rushton gassing,,,50.0,1000.0,16.666666666666668,0.1,1.0,1.6,Glass,,,Dished,1.0,0.043,0.01,,,,,,,,,,,,,,
Takeda – Optimax 1 L,Takeda,Batch,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Takeda – EasyMax 102 HP,Takeda,Batch,Lab,0.052,0.088,0.088,0.03,Gassing,,,25.0,1000.0,16.666666666666668,0.03,0.1,0.1,SS,,,Torispherical,1.0,0.0101,0.0088,,,,,,,,,,,,,,
Nalas – EasyMax 102,Nalas,Batch,Lab,0.052,0.088,0.088,0.03,Gassing,1.3,,25.0,1000.0,16.666666666666668,0.033,0.18,0.1,,,,Torispherical,1.0,0.0101,0.0088,,,,,,,,,3.74,1.53,,,,
Nalas – 1 L MB06,Nalas,Batch,Lab,,,0.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Nalas – 1 L MP10,Nalas,Batch,Lab,,,0.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Nalas – 2 L,Nalas,Batch,Pilot,,,0.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
Nalas – 5 L HP20,Nalas,Batch,Pilot,0.148,0.238,0.265,0.045,4PBT,,,10.0,1500.0,25.0,1.3,4.0,5.0,SS,,,,1.0,,,,,,,,,,,,,,,,
Nalas – 20 L,Nalas,Batch,Kilo,0.276,0.3087,0.406,0.0746,3PBT,,,10.0,2000.0,33.333333333333336,2.0,21.7,20.0,SS,1.0,,DIN Torispherical,1.0,0.1102,,,,,,,,,,,,,,,
